locale	ui_path	surface	target_text	placeholders	source_style_guide	source_phrasebook	review_focus	native_review_status	reviewer_notes
ar	complianceAndMonetization.complianceLinks.links.aboutTheTest	complianceAndMonetization	عن الاختبار		docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ar	complianceAndMonetization.complianceLinks.links.disclaimer	complianceAndMonetization	إخلاء مسؤولية		docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ar	complianceAndMonetization.complianceLinks.links.privacy	complianceAndMonetization	الخصوصية		docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
ar	complianceAndMonetization.complianceLinks.links.sources	complianceAndMonetization	مصادر التعلم		docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ar	complianceAndMonetization.complianceLinks.links.support	complianceAndMonetization	الدعم		docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ar	complianceAndMonetization.complianceLinks.links.terms	complianceAndMonetization	الشروط		docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ar	complianceAndMonetization.complianceLinks.openLabelTemplate	complianceAndMonetization	افتح: {label}	{label}	docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ar	complianceAndMonetization.complianceLinks.title	complianceAndMonetization	معلومات قانونية ومصادر		docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ar	complianceAndMonetization.legalPage.defaultBackAccessibilityLabel	complianceAndMonetization	الرجوع إلى الملف الشخصي		docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	accessibility_label	pending_native_review	pending_reviewer_notes
ar	complianceAndMonetization.legalPage.defaultBackLabel	complianceAndMonetization	← الرجوع إلى الملف الشخصي		docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ar	complianceAndMonetization.legalPage.externalLinkAccessibilityTemplate	complianceAndMonetization	افتح صفحة خارجية: {label}	{label}	docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ar	complianceAndMonetization.monetization.buyLabelTemplate	complianceAndMonetization	اشترِ مقابل {price}	{price}	docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ar	complianceAndMonetization.monetization.pricingPitchTemplate	complianceAndMonetization	دفعة واحدة بقيمة {price} تزيل الإعلانات. هذا ليس اشتراكًا شهريًا.	{price}	docs/localization/sample-corpus/ar/style-guide.md	locales/ar/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
