id	locale	chapter_id	chapter_label	source_chapter	source_section	source_page	question_sv	question_en	question_target	correct_option_id	correct_option_sv	correct_option_en	correct_option_target	options_sv	options_en	options_target	explanation_sv	explanation_en	explanation_target	native_review_status	reviewer_notes
q001	pl	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Var ligger Sverige?	Where is Sweden located?	Gdzie leży Szwecja?	a	I Norden i norra Europa	In the Nordic region in northern Europe	W regionie nordyckim w północnej Europie	a: I Norden i norra Europa | b: I södra Europa | c: I västra Asien | d: I Nordamerika	a: In the Nordic region in northern Europe | b: In southern Europe | c: In western Asia | d: In North America	a: W regionie nordyckim w północnej Europie | b: W południowej Europie | c: W zachodniej Azji | d: W Ameryce Północnej	Sverige ligger i Norden i norra Europa. Norden består av Danmark, Finland, Island, Norge och Sverige och är en del av norra Europa.	Sweden is in the Nordic region in northern Europe. The Nordic region includes Denmark, Finland, Iceland, Norway, and Sweden and is part of northern Europe.	Szwecja leży w regionie nordyckim w północnej Europie. Region ten obejmuje Danię, Finlandię, Islandię, Norwegię i Szwecję.	pending_native_review	pending_reviewer_notes
q002	pl	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Sveriges nordligaste del ligger norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle.	Najbardziej wysunięta na północ część Szwecji leży na północ od koła podbiegunowego.	true	Sant	True	Prawda	true: Sant | false: Falskt	true: True | false: False	true: Prawda | false: Fałsz	Sveriges nordligaste del ligger norr om polcirkeln, i det arktiska området. Den norra delen av landet sträcker sig alltså in i området norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle, in the Arctic area. The northern part of the country therefore extends into the area north of the Arctic Circle.	Najbardziej wysunięta na północ część Szwecji leży na północ od koła podbiegunowego, w obszarze arktycznym. Północ kraju sięga więc terenów położonych za kołem podbiegunowym.	pending_native_review	pending_reviewer_notes
q003	pl	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Ungefär hur långt sträcker sig Sverige från Treriksröset till Smygehuk?	Approximately how far does Sweden stretch from Treriksröset to Smygehuk?	Jaką mniej więcej długość ma Szwecja od Treriksröset do Smygehuk?	b	Cirka 1 600 kilometer	About 1,600 kilometres	Około 1600 kilometrów	a: Cirka 160 kilometer | b: Cirka 1 600 kilometer | c: Cirka 16 000 kilometer | d: Cirka 60 kilometer	a: About 160 kilometres | b: About 1,600 kilometres | c: About 16,000 kilometres | d: About 60 kilometres	a: Około 160 kilometrów | b: Około 1600 kilometrów | c: Około 16 000 kilometrów | d: Około 60 kilometrów	Sverige är ett avlångt land som sträcker sig cirka 1 600 kilometer från Treriksröset i norr till Smygehuk i söder. Avstånden 160 och 60 kilometer är för korta, och 16 000 kilometer är för långt.	Sweden is an elongated country that stretches about 1,600 kilometres from Treriksröset in the north to Smygehuk in the south. The distances 160 and 60 kilometres are too short, and 16,000 kilometres is too long.	Szwecja jest długim, wydłużonym krajem i rozciąga się na około 1600 kilometrów od Treriksröset na północy do Smygehuk na południu. Odległości 160 i 60 kilometrów są za krótkie, a 16 000 kilometrów za długie.	pending_native_review	pending_reviewer_notes
q004	pl	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vad heter havet vid Sveriges östra kust?	What is the sea along Sweden's eastern coast called?	Jak nazywa się morze przy wschodnim wybrzeżu Szwecji?	c	Östersjön	The Baltic Sea	Morze Bałtyckie	a: Nordsjön | b: Medelhavet | c: Östersjön | d: Atlanten	a: The North Sea | b: The Mediterranean Sea | c: The Baltic Sea | d: The Atlantic Ocean	a: Morze Północne | b: Morze Śródziemne | c: Morze Bałtyckie | d: Ocean Atlantycki	Havet vid Sveriges östra kust heter Östersjön. Nordsjön, Medelhavet och Atlanten är inte namnet på havet vid Sveriges östra kust.	The sea along Sweden's eastern coast is the Baltic Sea. The North Sea, the Mediterranean Sea, and the Atlantic Ocean are not the sea along Sweden's eastern coast.	Morze przy wschodnim wybrzeżu Szwecji to Morze Bałtyckie. Morze Północne, Morze Śródziemne i Ocean Atlantycki nie są morzem przy wschodnim wybrzeżu Szwecji.	pending_native_review	pending_reviewer_notes
q005	pl	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vilka öar är Sveriges två största?	Which islands are Sweden's two largest?	Które wyspy są dwiema największymi wyspami Szwecji?	a	Gotland och Öland	Gotland and Öland	Gotlandia i Olandia	a: Gotland och Öland | b: Hisingen och Orust | c: Värmdö och Tjörn | d: Malmö och Göteborg	a: Gotland and Öland | b: Hisingen and Orust | c: Värmdö and Tjörn | d: Malmö and Gothenburg	a: Gotlandia i Olandia | b: Hisingen i Orust | c: Värmdö i Tjörn | d: Malmö i Göteborg	Sveriges två största öar är Gotland och Öland. Hisingen, Orust, Värmdö och Tjörn är också svenska öar men är inte de två största, och Malmö och Göteborg är städer.	Sweden's two largest islands are Gotland and Öland. Hisingen, Orust, Värmdö, and Tjörn are also Swedish islands but are not the two largest, and Malmö and Gothenburg are cities.	Dwie największe wyspy Szwecji to Gotlandia i Olandia. Hisingen, Orust, Värmdö i Tjörn też są szwedzkimi wyspami, ale nie dwiema największymi, a Malmö i Göteborg to miasta.	pending_native_review	pending_reviewer_notes
q006	pl	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Golfströmmen och den Nordatlantiska strömmen bidrar till Sveriges milda klimat.	The Gulf Stream and the North Atlantic Current help make Sweden's climate mild.	Golfsztrom i Prąd Północnoatlantycki przyczyniają się do łagodnego klimatu Szwecji.	true	Sant	True	Prawda	true: Sant | false: Falskt	true: True | false: False	true: Prawda | false: Fałsz	Sverige har ett milt klimat jämfört med många andra områden på samma breddgrad. Golfströmmen och den Nordatlantiska strömmen transporterar varmt vatten mot Europa, vilket värmer luften som vindarna för in över Sverige.	Sweden has a mild climate compared with many other areas at the same latitude. The Gulf Stream and the North Atlantic Current carry warm water toward Europe, warming the air that winds bring over Sweden.	Szwecja ma łagodny klimat w porównaniu z wieloma innymi obszarami na tej samej szerokości geograficznej. Golfsztrom i Prąd Północnoatlantycki niosą ciepłą wodę ku Europie, ogrzewając powietrze przynoszone przez wiatry nad Szwecję.	pending_native_review	pending_reviewer_notes
q007	pl	1	Ch. 01 · The country of Sweden	Landet Sverige	Fjäll	6	Vad heter Sveriges högsta berg?	What is the name of Sweden's highest mountain?	Jak nazywa się najwyższa góra Szwecji?	a	Kebnekaise	Kebnekaise	Kebnekaise	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	Sveriges högsta berg heter Kebnekaise och är cirka 2 000 meter högt. Det ligger i fjällen, den del av bergskedjan Skanderna som går längs gränsen mot Norge.	Sweden's highest mountain is Kebnekaise, at about 2,000 metres. It is in the mountain region called fjällen, part of the Scandinavian Mountains along the border with Norway.	Najwyższa góra Szwecji nazywa się Kebnekaise i ma około 2000 metrów wysokości. Leży w górskim regionie zwanym fjällen, części Gór Skandynawskich wzdłuż granicy z Norwegią. (Treriksröset; Smygehuk)	pending_native_review	pending_reviewer_notes
q008	pl	1	Ch. 01 · The country of Sweden	Landet Sverige	Skogar, sjöar och öar	6	Vilka är Sveriges tre största sjöar?	What are Sweden's three largest lakes?	Które są trzema największymi jeziorami Szwecji?	a	Vänern, Vättern och Mälaren	Vänern, Vättern, and Mälaren	Vänern, Vättern i Mälaren	a: Vänern, Vättern och Mälaren | b: Östersjön, Kattegatt och Skagerrak | c: Gotland, Öland och Orust | d: Stockholm, Göteborg och Malmö	a: Vänern, Vättern, and Mälaren | b: The Baltic Sea, Kattegat, and Skagerrak | c: Gotland, Öland, and Orust | d: Stockholm, Gothenburg, and Malmö	a: Vänern, Vättern i Mälaren | b: Morze Bałtyckie, Kattegat i Skagerrak | c: Gotlandia, Olandia i Orust | d: Stockholm, Göteborg i Malmö	Sverige har många sjöar spridda över hela landet, och de tre största är Vänern, Vättern och Mälaren. De andra alternativen räknar upp havsområden, öar eller städer i stället för sjöar.	Sweden has many lakes throughout the country, and the three largest are Vänern, Vättern, and Mälaren. The other choices list sea areas, islands, or cities instead of lakes.	W całej Szwecji jest wiele jezior, a trzy największe to Vänern, Vättern i Mälaren. Pozostałe odpowiedzi wymieniają obszary morskie, wyspy albo miasta zamiast jezior.	pending_native_review	pending_reviewer_notes
q009	pl	1	Ch. 01 · The country of Sweden	Landet Sverige	Befolkning	7	Ungefär hur många människor bor i Sverige?	Approximately how many people live in Sweden?	Około ilu ludzi mieszka w Szwecji?	a	Nästan 11 miljoner	Almost 11 million	Prawie 11 milionów	a: Nästan 11 miljoner | b: Nästan 1 miljon | c: Cirka 50 miljoner | d: Cirka 100 miljoner	a: Almost 11 million | b: Almost 1 million | c: About 50 million | d: About 100 million	a: Prawie 11 milionów | b: Prawie 1 milion | c: Około 50 milionów | d: Około 100 milionów	Det bor nästan 11 miljoner människor i Sverige. Befolkningen är inte jämnt fördelad: de flesta bor i den södra delen av landet och längs kusterna.	Almost 11 million people live in Sweden. The population is not evenly distributed: most people live in the southern part of the country and along the coasts.	W Szwecji mieszka prawie 11 milionów ludzi. Ludność nie jest rozmieszczona równomiernie: większość mieszka w południowej części kraju i wzdłuż wybrzeży.	pending_native_review	pending_reviewer_notes
q010	pl	1	Ch. 01 · The country of Sweden	Landet Sverige	Naturresurser	7	Vilka naturresurser är viktiga i Sverige?	Which natural resources are important in Sweden?	Które zasoby naturalne są ważne w Szwecji?	a	Järnmalm och andra mineraler, skog, jordbruksmark och vatten	Iron ore and other minerals, forest, agricultural land, and water	Ruda żelaza i inne minerały, lasy, grunty rolne i woda	a: Järnmalm och andra mineraler, skog, jordbruksmark och vatten | b: Olja, naturgas, ökenmark och tropiskt regn | c: Kol, diamantgruvor, vulkanjord och palmer | d: Risfält, bomullsplantager, korallrev och tidvatten	a: Iron ore and other minerals, forest, agricultural land, and water | b: Oil, natural gas, desert land, and tropical rain | c: Coal, diamond mines, volcanic soil, and palm trees | d: Rice fields, cotton plantations, coral reefs, and tides	a: Ruda żelaza i inne minerały, lasy, grunty rolne i woda | b: Ropa, gaz ziemny, pustynie i tropikalne deszcze | c: Węgiel, kopalnie diamentów, gleby wulkaniczne i palmy | d: Pola ryżowe, plantacje bawełny, rafy koralowe i pływy	Sverige är rikt på flera viktiga naturresurser: järnmalm och andra mineraler, skog, jordbruksmark och vatten. Olja, naturgas, ökenmark, tropiskt regn och liknande beskriver inte Sveriges viktiga naturresurser.	Sweden is rich in several important natural resources: iron ore and other minerals, forests, agricultural land, and water. Oil, natural gas, desert land, tropical rain, and similar items do not describe Sweden's important natural resources.	Szwecja jest bogata w kilka ważnych zasobów naturalnych: rudę żelaza i inne minerały, lasy, grunty rolne i wodę. Ropa, gaz ziemny, pustynie, tropikalne deszcze i podobne rzeczy nie opisują ważnych zasobów naturalnych Szwecji.	pending_native_review	pending_reviewer_notes
