id	locale	chapter_id	chapter_label	source_chapter	source_section	source_page	question_sv	question_en	question_target	correct_option_id	correct_option_sv	correct_option_en	correct_option_target	options_sv	options_en	options_target	explanation_sv	explanation_en	explanation_target	native_review_status	reviewer_notes
q001	fa	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Var ligger Sverige?	Where is Sweden located?	سوئد کجا قرار دارد؟	a	I Norden i norra Europa	In the Nordic region in northern Europe	در منطقه نوردیک در شمال اروپا	a: I Norden i norra Europa | b: I södra Europa | c: I västra Asien | d: I Nordamerika	a: In the Nordic region in northern Europe | b: In southern Europe | c: In western Asia | d: In North America	a: در منطقه نوردیک در شمال اروپا | b: در جنوب اروپا | c: در غرب آسیا | d: در آمریکای شمالی	Sverige ligger i Norden i norra Europa. Norden består av Danmark, Finland, Island, Norge och Sverige och är en del av norra Europa.	Sweden is in the Nordic region in northern Europe. The Nordic region includes Denmark, Finland, Iceland, Norway, and Sweden and is part of northern Europe.	سوئد در منطقه نوردیک در شمال اروپا قرار دارد. این منطقه شامل دانمارک، فنلاند، ایسلند، نروژ و سوئد است.	pending_native_review	pending_reviewer_notes
q002	fa	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Sveriges nordligaste del ligger norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle.	شمالی‌ترین بخش سوئد در شمال دایره قطب شمال قرار دارد.	true	Sant	True	درست	true: Sant | false: Falskt	true: True | false: False	true: درست | false: نادرست	Sveriges nordligaste del ligger norr om polcirkeln, i det arktiska området. Den norra delen av landet sträcker sig alltså in i området norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle, in the Arctic area. The northern part of the country therefore extends into the area north of the Arctic Circle.	شمالی‌ترین بخش سوئد در شمال دایره قطب شمال و در منطقه قطبی قرار دارد. بنابراین شمال کشور تا ناحیه شمال دایره قطب شمال امتداد پیدا می‌کند.	pending_native_review	pending_reviewer_notes
q003	fa	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Ungefär hur långt sträcker sig Sverige från Treriksröset till Smygehuk?	Approximately how far does Sweden stretch from Treriksröset to Smygehuk?	سوئد از Treriksröset تا Smygehuk تقریباً چه اندازه امتداد دارد؟	b	Cirka 1 600 kilometer	About 1,600 kilometres	حدود ۱۶۰۰ کیلومتر	a: Cirka 160 kilometer | b: Cirka 1 600 kilometer | c: Cirka 16 000 kilometer | d: Cirka 60 kilometer	a: About 160 kilometres | b: About 1,600 kilometres | c: About 16,000 kilometres | d: About 60 kilometres	a: حدود ۱۶۰ کیلومتر | b: حدود ۱۶۰۰ کیلومتر | c: حدود ۱۶۰۰۰ کیلومتر | d: حدود ۶۰ کیلومتر	Sverige är ett avlångt land som sträcker sig cirka 1 600 kilometer från Treriksröset i norr till Smygehuk i söder. Avstånden 160 och 60 kilometer är för korta, och 16 000 kilometer är för långt.	Sweden is an elongated country that stretches about 1,600 kilometres from Treriksröset in the north to Smygehuk in the south. The distances 160 and 60 kilometres are too short, and 16,000 kilometres is too long.	سوئد کشوری کشیده است که از Treriksröset در شمال تا Smygehuk در جنوب حدود ۱۶۰۰ کیلومتر امتداد دارد. ۱۶۰ و ۶۰ کیلومتر خیلی کوتاه‌اند و ۱۶۰۰۰ کیلومتر خیلی طولانی است.	pending_native_review	pending_reviewer_notes
q004	fa	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vad heter havet vid Sveriges östra kust?	What is the sea along Sweden's eastern coast called?	دریای کنار ساحل شرقی سوئد چه نام دارد؟	c	Östersjön	The Baltic Sea	دریای بالتیک	a: Nordsjön | b: Medelhavet | c: Östersjön | d: Atlanten	a: The North Sea | b: The Mediterranean Sea | c: The Baltic Sea | d: The Atlantic Ocean	a: دریای شمال | b: دریای مدیترانه | c: دریای بالتیک | d: اقیانوس اطلس	Havet vid Sveriges östra kust heter Östersjön. Nordsjön, Medelhavet och Atlanten är inte namnet på havet vid Sveriges östra kust.	The sea along Sweden's eastern coast is the Baltic Sea. The North Sea, the Mediterranean Sea, and the Atlantic Ocean are not the sea along Sweden's eastern coast.	دریای کنار ساحل شرقی سوئد دریای بالتیک است. دریای شمال، دریای مدیترانه و اقیانوس اطلس نام دریای کنار ساحل شرقی سوئد نیستند.	pending_native_review	pending_reviewer_notes
q005	fa	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vilka öar är Sveriges två största?	Which islands are Sweden's two largest?	دو جزیره بزرگ سوئد کدام‌اند؟	a	Gotland och Öland	Gotland and Öland	Gotland و Öland	a: Gotland och Öland | b: Hisingen och Orust | c: Värmdö och Tjörn | d: Malmö och Göteborg	a: Gotland and Öland | b: Hisingen and Orust | c: Värmdö and Tjörn | d: Malmö and Gothenburg	a: Gotland و Öland | b: Hisingen و Orust | c: Värmdö و Tjörn | d: Malmö و Göteborg	Sveriges två största öar är Gotland och Öland. Hisingen, Orust, Värmdö och Tjörn är också svenska öar men är inte de två största, och Malmö och Göteborg är städer.	Sweden's two largest islands are Gotland and Öland. Hisingen, Orust, Värmdö, and Tjörn are also Swedish islands but are not the two largest, and Malmö and Gothenburg are cities.	دو جزیره بزرگ سوئد Gotland و Öland هستند. Hisingen، Orust، Värmdö و Tjörn نیز جزیره‌های سوئدی‌اند اما دو جزیره بزرگ نیستند، و Malmö و Göteborg شهر هستند.	pending_native_review	pending_reviewer_notes
q006	fa	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Golfströmmen och den Nordatlantiska strömmen bidrar till Sveriges milda klimat.	The Gulf Stream and the North Atlantic Current help make Sweden's climate mild.	جریان گلف استریم و جریان اقیانوس اطلس شمالی به ملایم بودن آب‌وهوای سوئد کمک می‌کنند.	true	Sant	True	درست	true: Sant | false: Falskt	true: True | false: False	true: درست | false: نادرست	Sverige har ett milt klimat jämfört med många andra områden på samma breddgrad. Golfströmmen och den Nordatlantiska strömmen transporterar varmt vatten mot Europa, vilket värmer luften som vindarna för in över Sverige.	Sweden has a mild climate compared with many other areas at the same latitude. The Gulf Stream and the North Atlantic Current carry warm water toward Europe, warming the air that winds bring over Sweden.	سوئد در مقایسه با بسیاری از مناطق دیگر در همان عرض جغرافیایی آب‌وهوای ملایمی دارد. گلف استریم و جریان اقیانوس اطلس شمالی آب گرم را به سوی اروپا می‌برند و هوایی را که بادها به سوئد می‌آورند گرم می‌کنند.	pending_native_review	pending_reviewer_notes
q007	fa	1	Ch. 01 · The country of Sweden	Landet Sverige	Fjäll	6	Vad heter Sveriges högsta berg?	What is the name of Sweden's highest mountain?	نام بلندترین کوه سوئد چیست؟	a	Kebnekaise	Kebnekaise	Kebnekaise	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	Sveriges högsta berg heter Kebnekaise och är cirka 2 000 meter högt. Det ligger i fjällen, den del av bergskedjan Skanderna som går längs gränsen mot Norge.	Sweden's highest mountain is Kebnekaise, at about 2,000 metres. It is in the mountain region called fjällen, part of the Scandinavian Mountains along the border with Norway.	بلندترین کوه سوئد Kebnekaise است و حدود ۲۰۰۰ متر ارتفاع دارد. این کوه در منطقه کوهستانی fjällen قرار دارد، بخشی از رشته‌کوه اسکاندیناوی که در امتداد مرز نروژ کشیده شده است. (Treriksröset; Smygehuk)	pending_native_review	pending_reviewer_notes
q008	fa	1	Ch. 01 · The country of Sweden	Landet Sverige	Skogar, sjöar och öar	6	Vilka är Sveriges tre största sjöar?	What are Sweden's three largest lakes?	سه دریاچه بزرگ سوئد کدام‌اند؟	a	Vänern, Vättern och Mälaren	Vänern, Vättern, and Mälaren	Vänern، Vättern و Mälaren	a: Vänern, Vättern och Mälaren | b: Östersjön, Kattegatt och Skagerrak | c: Gotland, Öland och Orust | d: Stockholm, Göteborg och Malmö	a: Vänern, Vättern, and Mälaren | b: The Baltic Sea, Kattegat, and Skagerrak | c: Gotland, Öland, and Orust | d: Stockholm, Gothenburg, and Malmö	a: Vänern، Vättern و Mälaren | b: دریای بالتیک، Kattegat و Skagerrak | c: Gotland، Öland و Orust | d: Stockholm، Göteborg و Malmö	Sverige har många sjöar spridda över hela landet, och de tre största är Vänern, Vättern och Mälaren. De andra alternativen räknar upp havsområden, öar eller städer i stället för sjöar.	Sweden has many lakes throughout the country, and the three largest are Vänern, Vättern, and Mälaren. The other choices list sea areas, islands, or cities instead of lakes.	در سراسر سوئد دریاچه‌های زیادی وجود دارد و سه دریاچه بزرگ آن Vänern، Vättern و Mälaren هستند. گزینه‌های دیگر به جای دریاچه، ناحیه‌های دریایی، جزیره‌ها یا شهرها را فهرست می‌کنند.	pending_native_review	pending_reviewer_notes
q009	fa	1	Ch. 01 · The country of Sweden	Landet Sverige	Befolkning	7	Ungefär hur många människor bor i Sverige?	Approximately how many people live in Sweden?	تقریباً چند نفر در سوئد زندگی می‌کنند؟	a	Nästan 11 miljoner	Almost 11 million	نزدیک به ۱۱ میلیون	a: Nästan 11 miljoner | b: Nästan 1 miljon | c: Cirka 50 miljoner | d: Cirka 100 miljoner	a: Almost 11 million | b: Almost 1 million | c: About 50 million | d: About 100 million	a: نزدیک به ۱۱ میلیون | b: نزدیک به ۱ میلیون | c: حدود ۵۰ میلیون | d: حدود ۱۰۰ میلیون	Det bor nästan 11 miljoner människor i Sverige. Befolkningen är inte jämnt fördelad: de flesta bor i den södra delen av landet och längs kusterna.	Almost 11 million people live in Sweden. The population is not evenly distributed: most people live in the southern part of the country and along the coasts.	نزدیک به ۱۱ میلیون نفر در سوئد زندگی می‌کنند. جمعیت به طور یکنواخت پخش نشده است: بیشتر مردم در بخش جنوبی کشور و در امتداد ساحل‌ها زندگی می‌کنند.	pending_native_review	pending_reviewer_notes
q010	fa	1	Ch. 01 · The country of Sweden	Landet Sverige	Naturresurser	7	Vilka naturresurser är viktiga i Sverige?	Which natural resources are important in Sweden?	کدام منابع طبیعی در سوئد مهم هستند؟	a	Järnmalm och andra mineraler, skog, jordbruksmark och vatten	Iron ore and other minerals, forest, agricultural land, and water	سنگ آهن و دیگر کانی‌ها، جنگل، زمین کشاورزی و آب	a: Järnmalm och andra mineraler, skog, jordbruksmark och vatten | b: Olja, naturgas, ökenmark och tropiskt regn | c: Kol, diamantgruvor, vulkanjord och palmer | d: Risfält, bomullsplantager, korallrev och tidvatten	a: Iron ore and other minerals, forest, agricultural land, and water | b: Oil, natural gas, desert land, and tropical rain | c: Coal, diamond mines, volcanic soil, and palm trees | d: Rice fields, cotton plantations, coral reefs, and tides	a: سنگ آهن و دیگر کانی‌ها، جنگل، زمین کشاورزی و آب | b: نفت، گاز طبیعی، زمین بیابانی و باران استوایی | c: زغال‌سنگ، معدن‌های الماس، خاک آتشفشانی و نخل‌ها | d: شالیزارها، کشتزارهای پنبه، صخره‌های مرجانی و جزر و مد	Sverige är rikt på flera viktiga naturresurser: järnmalm och andra mineraler, skog, jordbruksmark och vatten. Olja, naturgas, ökenmark, tropiskt regn och liknande beskriver inte Sveriges viktiga naturresurser.	Sweden is rich in several important natural resources: iron ore and other minerals, forests, agricultural land, and water. Oil, natural gas, desert land, tropical rain, and similar items do not describe Sweden's important natural resources.	سوئد از چند منبع طبیعی مهم برخوردار است: سنگ آهن و دیگر کانی‌ها، جنگل، زمین کشاورزی و آب. نفت، گاز طبیعی، زمین بیابانی، باران استوایی و موارد مشابه منابع طبیعی مهم سوئد را توصیف نمی‌کنند.	pending_native_review	pending_reviewer_notes
